timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219703.351,-55.664,-31.738,-33.203,-90.820,0.000
1722219703.355,-62.988,-33.691,-44.434,-79.590,0.000
1722219703.359,-51.270,-32.227,-43.945,-74.219,0.000
1722219703.363,-41.992,-37.598,-47.852,-88.379,0.000
1722219703.367,-50.781,-43.457,-59.082,-90.332,0.000
1722219703.371,-83.496,-42.969,-44.922,-86.914,0.000
1722219703.374,-93.750,-42.969,-39.062,-89.355,0.000
1722219703.379,-82.031,-38.574,-45.898,-108.398,0.000
1722219703.383,-108.398,-40.039,-46.875,-147.461,0.000
1722219703.386,-120.605,-45.410,-44.922,-137.207,0.000
1722219703.390,-132.812,-47.363,-43.945,-129.883,0.000
1722219703.394,-134.277,-44.434,-46.387,-147.949,0.000
1722219703.398,-125.977,-41.992,-44.434,-158.203,0.000
1722219703.402,-150.391,-54.688,-43.457,-175.293,0.000
1722219703.406,-152.832,-52.246,-48.828,-164.062,0.000
1722219703.410,-142.090,-40.527,-54.199,-154.297,0.000
1722219703.414,-155.762,-47.363,-54.199,-179.199,0.000
1722219703.417,-152.832,-50.293,-53.711,-167.480,0.000
1722219703.421,-148.438,-49.805,-57.129,-149.414,0.000
1722219703.426,-130.859,-47.852,-54.199,-141.602,0.000
1722219703.429,-102.051,-46.387,-48.828,-128.906,0.000
1722219703.433,-98.633,-51.270,-48.828,-123.047,0.000
1722219703.437,-110.352,-51.758,-45.898,-107.422,0.000
1722219703.441,-100.098,-44.434,-44.434,-93.750,0.000
1722219703.445,-71.777,-42.480,-46.387,-93.262,0.000
1722219703.449,-68.848,-37.109,-41.016,-98.145,0.000
1722219703.453,-81.055,-34.180,-41.504,-94.727,0.000
1722219703.457,-83.984,-38.086,-57.129,-84.961,0.000
1722219703.460,-61.035,-37.109,-50.293,-66.895,0.000
1722219703.464,-58.594,-39.551,-43.457,-75.684,0.000
1722219703.468,-72.266,-44.434,-49.316,-85.938,0.000
1722219703.472,-78.613,-45.898,-49.805,-72.754,0.000
1722219703.476,-62.988,-45.898,-52.734,-66.406,0.000
1722219703.480,-53.711,-42.969,-52.734,-75.684,0.000
1722219703.484,-65.430,-44.434,-53.711,-86.426,0.000
1722219703.488,-69.336,-45.410,-46.387,-69.824,0.000
1722219703.492,-52.246,-40.039,-36.621,-54.688,0.000
1722219703.496,-41.504,-39.551,-33.691,-62.012,0.000
1722219703.499,-59.570,-42.480,-43.945,-88.867,0.000
1722219703.503,-78.125,-42.969,-53.223,-90.820,0.000
1722219703.507,-68.848,-48.340,-50.781,-69.336,0.000
1722219703.511,-50.293,-49.805,-46.875,-64.941,0.000
1722219703.515,-60.547,-45.898,-46.875,-74.707,0.000
1722219703.519,-78.613,-41.016,-41.992,-73.242,0.000
1722219703.523,-69.336,-39.551,-39.062,-62.500,0.000
1722219703.527,-46.387,-40.039,-48.340,-57.617,0.000
1722219703.531,-59.570,-39.551,-47.852,-79.102,0.000
1722219703.535,-74.707,-38.574,-41.992,-89.355,0.000
1722219703.538,-66.406,-39.551,-38.574,-71.289,0.000
1722219703.542,-53.711,-40.039,-45.898,-65.918,0.000
1722219703.546,-56.641,-37.598,-60.059,-92.773,0.000
1722219703.550,-60.059,-40.039,-62.012,-95.215,0.000
1722219703.554,-55.176,-39.551,-47.852,-61.523,0.000
1722219703.558,-42.480,-36.621,-50.293,-56.152,0.000
1722219703.562,-36.133,-41.016,-56.152,-69.824,0.000
1722219703.566,-47.363,-38.574,-51.270,-65.918,0.000
1722219703.570,-57.129,-35.156,-51.758,-66.895,0.000
1722219703.574,-62.500,-34.668,-49.316,-62.500,0.000
1722219703.578,-52.246,-34.180,-51.758,-66.406,0.000
1722219703.582,-52.246,-37.598,-46.387,-78.613,0.000
1722219703.586,-68.359,-34.668,-38.086,-81.055,0.000
1722219703.589,-71.777,-35.645,-43.945,-78.125,0.000
1722219703.593,-62.012,-44.434,-53.711,-72.266,0.000
1722219703.597,-54.688,-45.410,-50.293,-81.055,0.000
1722219703.601,-55.176,-45.410,-47.363,-86.426,0.000
1722219703.605,-67.871,-48.340,-51.758,-73.242,0.000
1722219703.609,-64.941,-49.316,-51.758,-63.965,0.000
1722219703.613,-50.293,-43.457,-49.805,-68.848,0.000
1722219703.617,-52.734,-41.016,-42.480,-74.219,0.000
1722219703.621,-69.336,-40.039,-43.945,-71.777,0.000
1722219703.625,-60.547,-39.062,-44.434,-54.688,0.000
1722219703.629,-45.410,-39.551,-40.527,-48.828,0.000
1722219703.633,-41.504,-35.645,-45.898,-60.547,0.000
1722219703.637,-48.340,-34.668,-52.246,-56.641,0.000
1722219703.640,-87.891,-41.016,-48.828,-67.383,0.000
1722219703.644,-78.613,-44.434,-42.480,-76.660,0.000
1722219703.648,-57.617,-48.340,-40.039,-66.895,0.000
1722219703.652,-73.730,-46.875,-45.898,-81.543,0.000
1722219703.656,-74.219,-45.898,-50.293,-73.242,0.000
1722219703.660,-60.059,-50.781,-48.828,-72.754,0.000
1722219703.664,-69.824,-58.105,-47.852,-97.656,0.000
1722219703.668,-83.496,-48.828,-44.434,-94.727,0.000
1722219703.672,-81.055,-44.922,-37.598,-77.637,0.000
1722219703.676,-60.547,-45.898,-35.156,-64.453,0.000
1722219703.680,-40.527,-45.898,-38.086,-68.848,0.000
1722219703.684,-49.805,-50.293,-42.480,-82.520,0.000
1722219703.687,-61.035,-46.875,-41.016,-76.660,0.000
1722219703.691,-43.457,-46.875,-39.062,-61.035,0.000
1722219703.695,-37.598,-48.828,-47.363,-72.266,0.000
1722219703.699,-50.293,-44.922,-45.898,-75.684,0.000
1722219703.703,-54.199,-38.574,-37.109,-67.871,0.000
1722219703.707,-55.176,-32.227,-34.180,-65.430,0.000
1722219703.711,-53.711,-36.621,-39.551,-79.590,0.000
1722219703.715,-61.523,-44.922,-43.945,-88.379,0.000
1722219703.719,-65.430,-38.574,-40.039,-83.496,0.000
1722219703.723,-65.430,-38.086,-44.922,-72.266,0.000
1722219703.727,-54.199,-43.945,-55.664,-65.430,0.000
1722219703.730,-49.805,-41.992,-48.828,-78.125,0.000
1722219703.734,-45.410,-35.645,-31.250,-69.336,0.000
1722219703.738,-45.410,-34.180,-31.250,-48.340,0.000
1722219703.742,-43.457,-37.598,-41.016,-49.805,0.000
1722219703.746,-29.785,-39.551,-40.527,-60.547,0.000
1722219703.750,-36.621,-42.969,-41.016,-69.824,0.000
1722219703.754,-51.270,-50.781,-43.945,-62.988,0.000
1722219703.758,-52.246,-49.805,-43.945,-54.199,0.000
1722219703.762,-31.250,-41.504,-40.039,-50.293,0.000
1722219703.766,-34.668,-37.598,-42.480,-62.012,0.000
1722219703.770,-60.059,-45.898,-42.969,-65.918,0.000
1722219703.774,-55.664,-44.434,-41.992,-47.852,0.000
1722219703.777,-46.387,-40.527,-45.410,-44.922,0.000
