TP9,AF7,AF8,TP10,AUX,Timestamp
-127.44140625,-75.1953125,-17.578125,-73.73046875,0.0,1722223974.428532
-53.22265625,-70.80078125,-24.4140625,-47.36328125,0.0,1722223974.4319797
44.921875,-65.4296875,-42.96875,-24.4140625,0.0,1722223974.4354277
7.32421875,-63.96484375,-48.33984375,-37.59765625,0.0,1722223974.4388754
-63.96484375,-66.40625,-41.015625,-27.83203125,0.0,1722223974.4423232
-23.92578125,-64.453125,-56.640625,-1.46484375,0.0,1722223974.4457712
58.59375,-73.2421875,-71.2890625,6.34765625,0.0,1722223974.449219
44.921875,-77.1484375,-60.546875,2.9296875,0.0,1722223974.4526668
-36.62109375,-67.87109375,-61.5234375,-12.6953125,0.0,1722223974.4561148
-40.52734375,-70.80078125,-78.61328125,-14.6484375,0.0,1722223974.4595625
47.8515625,-74.70703125,-87.890625,5.37109375,0.0,1722223974.4630103
68.84765625,-72.265625,-89.35546875,4.39453125,0.0,1722223974.4664583
-18.06640625,-62.98828125,-78.61328125,-9.27734375,0.0,1722223974.4666371
-43.45703125,-60.05859375,-67.87109375,-3.41796875,0.0,1722223974.4700303
34.1796875,-64.94140625,-73.73046875,20.01953125,0.0,1722223974.4734237
91.796875,-62.01171875,-88.8671875,30.76171875,0.0,1722223974.4768171
10.25390625,-64.94140625,-92.7734375,8.7890625,0.0,1722223974.4802105
-50.29296875,-64.453125,-83.0078125,-1.953125,0.0,1722223974.483604
15.13671875,-59.08203125,-74.70703125,20.99609375,0.0,1722223974.4869974
87.40234375,-62.98828125,-77.63671875,40.0390625,0.0,1722223974.4903905
41.015625,-64.94140625,-84.9609375,23.4375,0.0,1722223974.493784
-43.45703125,-60.546875,-82.03125,0.9765625,0.0,1722223974.4971774
-18.5546875,-58.59375,-72.75390625,24.4140625,0.0,1722223974.5005708
68.84765625,-54.6875,-73.73046875,42.96875,0.0,1722223974.5039642
46.875,-57.12890625,-86.42578125,9.27734375,0.0,1722223974.50546
-41.9921875,-52.734375,-72.265625,-14.16015625,0.0,1722223974.5088272
-44.921875,-47.36328125,-65.91796875,-1.953125,0.0,1722223974.5121942
18.06640625,-52.24609375,-84.47265625,2.44140625,0.0,1722223974.515561
51.26953125,-55.17578125,-87.40234375,-0.48828125,0.0,1722223974.5189283
-21.484375,-55.6640625,-81.0546875,-10.7421875,0.0,1722223974.5222952
-75.68359375,-53.7109375,-76.171875,-18.5546875,0.0,1722223974.5256622
-15.13671875,-52.24609375,-74.70703125,-3.41796875,0.0,1722223974.5290291
53.7109375,-52.24609375,-91.30859375,5.859375,0.0,1722223974.5323963
-3.41796875,-45.41015625,-91.30859375,-6.8359375,0.0,1722223974.5357633
-79.1015625,-44.43359375,-83.984375,-26.85546875,0.0,1722223974.5391302
-39.55078125,-53.7109375,-83.49609375,-18.06640625,0.0,1722223974.5424974
46.875,-46.875,-70.3125,8.30078125,0.0,1722223974.5469344
21.484375,-42.96875,-78.125,0.0,0.0,1722223974.5503142
-69.82421875,-46.875,-70.80078125,-25.390625,0.0,1722223974.553694
-65.4296875,-47.8515625,-72.75390625,-21.484375,0.0,1722223974.5570736
24.4140625,-55.17578125,-86.9140625,2.9296875,0.0,1722223974.5604534
47.36328125,-54.6875,-72.75390625,5.859375,0.0,1722223974.5638332
-42.96875,-57.6171875,-62.98828125,-18.06640625,0.0,1722223974.567213
-83.49609375,-58.10546875,-78.61328125,-30.76171875,0.0,1722223974.5705926
-4.39453125,-49.8046875,-89.35546875,-8.7890625,0.0,1722223974.5739725
44.43359375,-49.31640625,-76.66015625,2.44140625,0.0,1722223974.5773523
-42.96875,-50.29296875,-72.265625,-36.1328125,0.0,1722223974.580732
-96.19140625,-53.22265625,-76.66015625,-49.31640625,0.0,1722223974.5841117
-31.73828125,-51.26953125,-80.56640625,-26.85546875,0.0,1722223974.5872366
41.9921875,-50.78125,-74.21875,-19.04296875,0.0,1722223974.5906136
-12.6953125,-41.015625,-73.73046875,-40.52734375,0.0,1722223974.5939908
-101.07421875,-37.109375,-88.8671875,-63.96484375,0.0,1722223974.597368
-58.59375,-40.0390625,-87.40234375,-41.9921875,0.0,1722223974.600745
36.1328125,-40.52734375,-71.77734375,-19.53125,0.0,1722223974.6041222
19.04296875,-43.45703125,-70.80078125,-27.83203125,0.0,1722223974.6074991
-69.82421875,-42.48046875,-66.40625,-34.1796875,0.0,1722223974.6108763
-71.2890625,-41.9921875,-71.2890625,-51.26953125,0.0,1722223974.6142533
14.16015625,-39.55078125,-70.80078125,-44.43359375,0.0,1722223974.6176305
24.4140625,-39.55078125,-62.01171875,-41.9921875,0.0,1722223974.6210077
-81.54296875,-39.0625,-64.94140625,-57.12890625,0.0,1722223974.6243846
-99.12109375,-38.0859375,-73.73046875,-53.7109375,0.0,1722223974.6300786
-15.13671875,-38.57421875,-66.40625,-43.9453125,0.0,1722223974.633477
26.85546875,-40.0390625,-67.87109375,-35.64453125,0.0,1722223974.6368756
-47.36328125,-39.55078125,-80.56640625,-47.36328125,0.0,1722223974.640274
-108.3984375,-43.9453125,-66.40625,-53.7109375,0.0,1722223974.6436727
-37.59765625,-43.9453125,-72.265625,-33.203125,0.0,1722223974.6470714
48.33984375,-41.015625,-89.35546875,-20.99609375,0.0,1722223974.6504698
-5.37109375,-48.828125,-78.61328125,-37.109375,0.0,1722223974.6538684
-87.40234375,-43.9453125,-62.5,-53.7109375,0.0,1722223974.6572669
-47.36328125,-38.57421875,-61.03515625,-39.0625,0.0,1722223974.6606655
29.78515625,-43.45703125,-65.4296875,-22.94921875,0.0,1722223974.664064
14.16015625,-52.24609375,-55.17578125,-30.76171875,0.0,1722223974.6674626
-74.70703125,-50.78125,-50.78125,-48.33984375,0.0,1722223974.6733046
-83.984375,-38.0859375,-52.734375,-45.8984375,0.0,1722223974.6767235
11.71875,-43.45703125,-64.453125,-26.3671875,0.0,1722223974.6801424
38.0859375,-45.8984375,-64.453125,-28.3203125,0.0,1722223974.6835613
-43.9453125,-38.57421875,-58.10546875,-41.9921875,0.0,1722223974.6869802
-61.5234375,-40.0390625,-57.6171875,-39.0625,0.0,1722223974.6903992
6.34765625,-45.41015625,-58.59375,-25.87890625,0.0,1722223974.693818
48.828125,-43.9453125,-57.6171875,-21.484375,0.0,1722223974.697237
-20.5078125,-36.1328125,-40.0390625,-32.2265625,0.0,1722223974.700656
-93.26171875,-45.8984375,-35.64453125,-46.875,0.0,1722223974.7040749
-42.48046875,-57.12890625,-43.9453125,-41.015625,0.0,1722223974.7074938
36.1328125,-49.31640625,-37.109375,-18.5546875,0.0,1722223974.7109127
-5.37109375,-43.9453125,-29.296875,-17.578125,0.0,1722223974.7168946
-92.28515625,-47.36328125,-39.0625,-45.8984375,0.0,1722223974.720333
-79.58984375,-49.8046875,-33.69140625,-47.36328125,0.0,1722223974.7237713
16.6015625,-47.8515625,-20.5078125,-14.6484375,0.0,1722223974.7272098
22.4609375,-44.43359375,-34.1796875,-18.5546875,0.0,1722223974.730648
-73.73046875,-39.55078125,-43.45703125,-43.45703125,0.0,1722223974.7340865
-92.28515625,-47.8515625,-33.69140625,-47.8515625,0.0,1722223974.7375247
-5.37109375,-50.78125,-26.85546875,-20.5078125,0.0,1722223974.740963
32.71484375,-44.921875,-28.3203125,-19.53125,0.0,1722223974.7444015
-58.10546875,-45.8984375,-28.3203125,-64.453125,0.0,1722223974.7478397
-95.703125,-43.9453125,-24.90234375,-69.82421875,0.0,1722223974.7512782
